PRODUCT,PRODUCTDESCRIPTION,MATERIAL,MATERIALDESCRIPTION,DESTINATIONCOUNTRY,DESTINATIONCOUNTRYDESCRIPTION
P116,Product 0002,F000000072,F000000072,RS,SERBIA MONTENEGRO
P134,Product 0003,F000000092,F000000092,BE,BELGIUM
P134,Product 0003,F000000093,F000000093,DE,GERMANY
P134,Product 0003,F000000094,F000000094,DE,GERMANY
P134,Product 0003,F000000095,F000000095,DE,GERMANY
P134,Product 0003,F000000096,F000000096,DE,GERMANY
P134,Product 0003,F000000098,F000000098,DE,GERMANY
P134,Product 0003,F000000101,F000000101,BE,BELGIUM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
P106,Product 0004,F000000143,F000000143,GB,UNITED KINGDOM
#,Product 0001,D000052280,D000052280,AU,AUSTRALIA
#,Product 0001,D000052280,D000052280,AU,AUSTRALIA
